epoch,loss,recall@20,ndcg@20
1,0.6940659192892221,0.11332164893929597,0.12084370735438663
2,0.693759845835822,0.2610920574523515,0.29869550016685714
3,0.69345623254776,0.44348221304838936,0.4838575342043859
4,0.692770174571446,0.4643938487982606,0.4884227004639652
5,0.6906344677720752,0.387424665204077,0.40412582787592194
6,0.6849668323993683,0.3300836451130567,0.34985150044137536
7,0.6727282447474343,0.3175055010349127,0.3323750784672267
8,0.6525651855128152,0.29149781427722593,0.31114831966240153
9,0.6225810519286564,0.287588723368135,0.3018507753573198
10,0.5872127413749695,0.2828350048644165,0.30418202505075165
11,0.5470567345619202,0.2766715849509966,0.2954911562204893
12,0.508704831202825,0.27683825161766323,0.28436132043775075
13,0.47984243035316465,0.27483825161766323,0.2763050766642319
14,0.45203060110410054,0.2738382516176632,0.2787018829111685
15,0.43452779253323875,0.27203468018909177,0.27786323745760977
