epoch,loss,recall@20,ndcg@20
1,0.4900410294532776,0.2603706873192166,0.20963810069273872
2,0.4506635030110677,0.2603706873192166,0.2120588915437282
3,0.4407660007476807,0.2603706873192166,0.21637456485722584
4,0.4343916356563568,0.2603706873192166,0.21273857172722457
5,0.41979570128023624,0.25828735398588326,0.20480603926743263
6,0.4125480018556118,0.26332816040168966,0.2093218827041873
7,0.4030384123325348,0.2695717085202378,0.21399104857887863
8,0.3956342895825704,0.2638892063818533,0.21784914914281817
9,0.38008582989374795,0.2545899125384419,0.2075986967701416
10,0.3702518820762634,0.25649232956585877,0.20704784709909524
11,0.369989812374115,0.2597299848843965,0.21173095198470573
12,0.3586496949195862,0.26727176255117413,0.21538086533844625
13,0.3504788776238759,0.2628593930579224,0.21257591284319388
14,0.3385378321011861,0.2530290151025444,0.1985867044335202
15,0.33638572494188945,0.25866057798410724,0.2125687448254121
