epoch,loss,recall@20,ndcg@20
1,0.4639054468044868,0.2603706873192166,0.21439913305636643
2,0.4505900400025504,0.2603706873192166,0.21396223518473342
3,0.437866855944906,0.2603706873192166,0.21451319201255298
4,0.4301529271262033,0.2603706873192166,0.2171649769249794
5,0.419909057872636,0.25660105825546986,0.217291180329974
6,0.4097428492137364,0.2626010582554699,0.2268055439864853
7,0.40431173145771027,0.26693158475511397,0.2297378435710182
8,0.4064392702920096,0.27425073782426707,0.23042559481915886
9,0.3883965526308332,0.2648571591806885,0.22756506595463016
10,0.3872922579447428,0.27454504074357,0.2359815682990791
11,0.3736730655034383,0.2677192039986156,0.22271872786017435
12,0.359945015112559,0.25933002944767636,0.2136724670142329
13,0.35865073402722675,0.25545571340424267,0.20852638142877727
14,0.35123448371887206,0.26495044497985654,0.22183315628065145
15,0.33754443327585854,0.2510620555914672,0.21478840301775912
