run,Recall@20,NDCG@20
static_base,0.2024365821094793,0.0689694548685452
static_sol,0.2014352469959946,0.0691056751211084
dyn_base,0.1733978638184245,0.0586041629685676
dyn_sol,0.1764018691588785,0.0585597719177967
