epoch,loss,recall@20,ndcg@20
1,0.6940541909291194,0.13733205519970226,0.15897392889113798
2,0.6937521741940424,0.2837800181844299,0.33927804588657245
3,0.6934504829920255,0.48198128342246,0.5256222210282256
4,0.6928114891052246,0.4999816857978622,0.5131916982438416
5,0.6909611500226535,0.3957749480911247,0.41228335357455564
6,0.6862803743435786,0.33186733772763183,0.36311562089435895
7,0.6764208628581121,0.31295103181132583,0.3474456879278442
8,0.6593925723662744,0.302508959994254,0.33183178191832796
9,0.635789169715001,0.2951514939309056,0.3253779235846953
10,0.6043148132470938,0.28904892982834146,0.32025874212985267
11,0.5696127781501183,0.2860981722525839,0.3147543086561059
12,0.5371137857437134,0.2835287278081394,0.30507330386475984
13,0.5037331718664902,0.2826953944748061,0.3006635687714776
14,0.47940898629335255,0.2825287278081394,0.30344107750126564
15,0.45425846714239854,0.2787694968430261,0.29735084512921384
