epoch,loss,recall@20,ndcg@20
1,0.48824818088458133,0.2589421158906452,0.21334632648429788
2,0.4570555870349591,0.2589421158906452,0.21324153415739555
3,0.44076598378328175,0.26370402065254994,0.22048256830247348
4,0.43704000344643223,0.26370402065254994,0.22401264760869138
5,0.43030590965197635,0.26370402065254994,0.23290102149120248
6,0.41794511905083287,0.267126639700169,0.2307564711034022
7,0.4078275400858659,0.2622505892800009,0.2307443935974565
8,0.40423293297107404,0.2648352546146662,0.2348718315826066
9,0.4007219420029567,0.2599658837894131,0.23299968451027286
10,0.3908111315507155,0.26362299057151983,0.22943291670544963
11,0.38075749232218814,0.2629738994665464,0.22406770134730278
12,0.36420142421355617,0.26741740449093376,0.22169212068848815
13,0.35996944858477664,0.25759962096726796,0.21768879974901165
14,0.34186303386321437,0.25564677234530164,0.22209034930795968
15,0.34293784545018124,0.25601574079515244,0.2187202133769042
