epoch,loss,recall@20,ndcg@20
1,0.6934614594166095,0.10196915992504225,0.11644665021493042
2,0.6918045580387115,0.24910526401702857,0.2860436900578788
3,0.6900891959667206,0.4764844624329917,0.523193035003643
4,0.6880220898560115,0.4894253214106154,0.5199191927972255
5,0.6846297298158918,0.39727918160271103,0.42661155762752156
6,0.6786538277353559,0.34973017913459076,0.3709531603559531
7,0.670133786542075,0.319906734605264,0.3469574891470094
8,0.6624044903687069,0.3095796034031327,0.3370470604488559
9,0.6606109823499408,0.30602628172481106,0.32981687100483803
10,0.6668982863426208,0.30479089211442145,0.3193511722347455
11,0.6718910376230876,0.31235341292694224,0.3042338300891194
12,0.6715390483538309,0.31013136128577296,0.3091635181788969
13,0.6677607536315918,0.32262826715767884,0.32741727024128686
14,0.6605331619580587,0.327596160375572,0.3316365574627438
15,0.6549672842025757,0.3415774013568129,0.34095081570713875
