epoch,loss,recall@20,ndcg@20
1,0.6940461754798889,0.10690063531239997,0.12209877389980221
2,0.6937311013539632,0.2752176597911891,0.32215447823482934
3,0.6934493184089661,0.48724085310114723,0.52685842238836
4,0.6925535996754965,0.44980418845860015,0.4660425020716833
5,0.6894300132989883,0.33658166098607256,0.35024620939594475
6,0.6799801997840405,0.30197995713436876,0.3166186256987399
7,0.6606464050710201,0.29068934088787013,0.3039871177518305
8,0.6296160737673442,0.28745918215771143,0.30376488814784286
9,0.5908723751703898,0.2874575587810881,0.2945225860772722
10,0.5478429794311523,0.28115561072913997,0.28173118529722074
11,0.5124940097332,0.27475001632354557,0.27150627778728487
12,0.4774999499320984,0.2661325920811214,0.2657957038352608
13,0.45492886900901797,0.26490340460193385,0.25400525949521674
14,0.43374739090601605,0.2666458288443581,0.24983303756405245
15,0.4181426286697388,0.26581249551102476,0.23655078431598883
