epoch,loss,recall@20,ndcg@20
1,0.6940445979436238,0.12837453233041463,0.15684379030902845
2,0.6937254627545675,0.2775188643056289,0.31893932402163466
3,0.6933758974075317,0.48382346085287264,0.49758292424005207
4,0.6923983852068584,0.42986134943487875,0.43705254935668947
5,0.6893129785855611,0.33973581239022416,0.35539119226588534
6,0.6806980053583781,0.31219687910129074,0.32383681436726414
7,0.6627569238344828,0.29694926152279083,0.3109754276435939
8,0.6343742767969768,0.2863275082760376,0.3028092303452754
9,0.5981728355089824,0.28241177531618694,0.298069852334068
10,0.5571009437243144,0.28189929759782684,0.2913744582614752
11,0.517685866355896,0.27877429759782685,0.2828353076489494
12,0.48544786175092064,0.2747583135818428,0.2729191163487171
13,0.457981272538503,0.2692242226727519,0.2577468715012232
14,0.4381371756394704,0.270326786775316,0.25492606518649014
15,0.42717058658599855,0.26927184172037094,0.25358960814260373
