epoch,loss,recall@20,ndcg@20
1,0.48977031707763674,0.2616206873192166,0.2104989594189327
2,0.4546287953853607,0.26002977822830753,0.20606370226044682
3,0.43843714793523153,0.2603706873192166,0.2098036929811088
4,0.4348543306191762,0.2589421158906452,0.210722964696277
5,0.43058034380277,0.256305540048187,0.20754333046868875
6,0.41727544864018756,0.266193239766769,0.2104242678152774
7,0.4128087282180786,0.2555608027593321,0.2155521950089737
8,0.40714275439580283,0.26225345324610017,0.21437192818047404
9,0.3996255179246267,0.25745066289919216,0.21404993060350683
10,0.3945056955019633,0.25860635851077013,0.22120361835941293
11,0.3899338980515798,0.25882342902195826,0.2222480878564323
12,0.3711306909720103,0.2600763468557585,0.22261849853984308
13,0.36160419980684916,0.252975045379457,0.22414039447399317
14,0.3585624317328135,0.2505276831012123,0.21726003458622978
15,0.3471234897772471,0.26142757487610413,0.21987252496856552
