epoch,loss,recall@20,ndcg@20
1,0.69335831006368,0.10175879104555573,0.11728248237916315
2,0.691535747051239,0.29079019428284114,0.31209684048467307
3,0.6896915276845296,0.48088372819990477,0.49655403553290883
4,0.6872728546460469,0.4144880225983165,0.41059748650114775
5,0.6828161403536797,0.33303140976670376,0.32751861588326875
6,0.6745260469615459,0.2996110621404737,0.29571047924695404
7,0.6651889942586422,0.2839313292916233,0.2731174426307497
8,0.6624045372009277,0.27556286034227195,0.27698297188136695
9,0.6678549726804097,0.2724245444098383,0.26288267647455327
10,0.6725046515464783,0.2827770668873609,0.27314003771776435
11,0.673869792620341,0.2767931896534836,0.26651607133040317
12,0.6725900173187256,0.2916564652667592,0.2812500574948667
13,0.66880704164505,0.2974799195902135,0.27613997900410353
14,0.6598261992136637,0.31846167394696784,0.28640458158525767
15,0.6560726324717204,0.3304907837260776,0.3014233462960912
