epoch,loss,recall@20,ndcg@20
1,0.5228870281806359,0.2603706873192166,0.21749901636194774
2,0.459194731253844,0.2603706873192166,0.22131882791906998
3,0.44627292110369754,0.2603706873192166,0.22162734958147087
4,0.43969112863907445,0.2603706873192166,0.2249402308248705
5,0.43071221159054685,0.2603706873192166,0.22644354033673547
6,0.42677289935258717,0.26151054745907676,0.21722452051224522
7,0.41723365967090315,0.25305885617650314,0.21515473892012568
8,0.40279152072392976,0.2615466224951518,0.2205619240424425
9,0.39223459362983704,0.26103143343584506,0.23062898249068794
10,0.37975741120485157,0.24947992530345456,0.22070313244175355
11,0.37205148201722366,0.24956563126416054,0.21170836786555597
12,0.35647492225353533,0.25889489513754205,0.21900319805793514
13,0.3436647034608401,0.2624011666438136,0.22006844437893883
14,0.3336437000678136,0.2576530813957284,0.21480143587754072
15,0.3246415830575503,0.2627850091085384,0.2179208337101738
