epoch,loss,recall@20,ndcg@20
1,0.4963957163003775,0.2603706873192166,0.21150852233885828
2,0.46297721777643475,0.26162068731921656,0.21335565409561666
3,0.4455637271915163,0.2603706873192166,0.21403959754934995
4,0.438994220324925,0.26240745202509896,0.2133354031492729
5,0.4354867956468037,0.26121336833101527,0.21320279216894744
6,0.42102002458912985,0.26246932071196766,0.21748658560955267
7,0.4155040149177824,0.2538699241934535,0.21405699114097332
8,0.40490102767944336,0.2510266326810443,0.2110609068509472
9,0.4032400165285383,0.2593107235901353,0.2124278520844031
10,0.3863548696041107,0.25827440451705147,0.2113450756158335
11,0.37684316833813986,0.26197544367397296,0.21823693502243496
12,0.3724545935789744,0.2649944622371092,0.22390192347996168
13,0.35896773139635724,0.2664054262730733,0.21944533573990177
14,0.3445488433043162,0.2589117394043864,0.2059139136417845
15,0.3441549519697825,0.2658305648599766,0.20861850367744345
