epoch,loss,recall@20,ndcg@20
1,0.6940627419031583,0.11052516356192824,0.13481476666914854
2,0.6937450511114938,0.2539374914301384,0.30981320872687446
3,0.6934478112629482,0.48636115355233,0.5374170919586583
4,0.6927858718803951,0.5129625521537287,0.5245285567620998
5,0.6906624478953225,0.4107688153349918,0.4035673558075651
6,0.6848825982638768,0.3447717290879055,0.3369664300400557
7,0.6720068667616163,0.2991657435701552,0.3028322447250315
8,0.650215574673244,0.28823288068140995,0.2813355787779135
9,0.6203697281224387,0.28477454734807656,0.2776452740943415
10,0.5819730202356974,0.2808297421532714,0.2612553596935215
11,0.5417946775754293,0.27656621401474324,0.24654656637135106
12,0.504930462439855,0.2682916829902123,0.24079869367293338
13,0.47097405592600505,0.2687083496568789,0.24944844302438265
14,0.4479889432589213,0.26604168299021225,0.24894614155327177
15,0.43018605510393776,0.2732916829902123,0.24269936208775092
