epoch,loss,recall@20,ndcg@20
1,0.6940574325048007,0.10791656790921494,0.12326609242428081
2,0.6937601016117976,0.2318581581816876,0.28346780364407675
3,0.6934851591403668,0.44281622625740275,0.49825363086918734
4,0.692979083611415,0.5171146737249679,0.5529355048458586
5,0.6915676502081064,0.4368252270605212,0.45973802898364646
6,0.687891960144043,0.37043765629795034,0.38797665343287335
7,0.6795190572738647,0.327630140284552,0.3437089407426868
8,0.6646579183064975,0.30259139716492645,0.3262054798629408
9,0.6419344727809613,0.2842464088199381,0.3103531359191553
10,0.6123765798715445,0.2794837825573118,0.3058897125301402
11,0.5773651829132667,0.2807335328070621,0.29973584614334153
12,0.5419356226921082,0.27729763537116464,0.2998053970374815
13,0.5088732334283682,0.27654005961358885,0.3009161451791934
14,0.4811525826270764,0.2822537348272641,0.3040812815767529
15,0.4585572274831625,0.2849810075545368,0.3056493306795683
