epoch,loss,recall@20,ndcg@20
1,0.6934582591056824,0.10157591836268304,0.12369589811060136
2,0.6918129112039294,0.24288664358517292,0.2931796299317908
3,0.6901338270732335,0.4372662566191978,0.4925999173388901
4,0.6881957224437169,0.5357485300647067,0.5428547490998894
5,0.68524860058512,0.41127118388147804,0.4336208260870999
6,0.6799078455993107,0.34173830989272164,0.3729484884849027
7,0.6713835299015045,0.3218202279746396,0.34898462833044563
8,0.6632777452468872,0.3059709106253223,0.3414712903542595
9,0.6593802315848214,0.2989005920550037,0.3233019034649235
10,0.6647352854410807,0.2978540234275527,0.3103163611969031
11,0.667514713605245,0.3019037416831533,0.3021935180564071
12,0.6710434238115947,0.31412441969794896,0.2975846235048596
13,0.6676715731620788,0.3222671976716094,0.32585251210579874
14,0.6611974279085795,0.32646953699894865,0.3235150820110894
15,0.6592806021372477,0.3322738715532831,0.32173695254620205
