epoch,loss,recall@20,ndcg@20
1,0.6934626423395597,0.11318580847257316,0.12852624907082308
2,0.6918661640240595,0.2145271656448126,0.2523891920585678
3,0.6903015741935143,0.412791992321404,0.46675113223181697
4,0.6884916791549096,0.5014578126122242,0.5288563408796408
5,0.6858393274820768,0.42508123494152905,0.4379320893110477
6,0.6811777720084558,0.35558901882431276,0.3688332355412291
7,0.6736340522766113,0.3261897750941867,0.3466911741466253
8,0.6652182524020855,0.30949222264663423,0.32999704905944893
9,0.6604775373752301,0.2948651275195392,0.3110698895844574
10,0.661302231825315,0.2889058229352346,0.3037881459348598
11,0.6663328225796039,0.284408496732026,0.28811624807361336
12,0.6681902362750127,0.29413353558206484,0.289007457998512
13,0.6692920602284945,0.3053198672242789,0.2885551738259664
14,0.6638231644263635,0.32377795080736255,0.2906112417127633
15,0.6587718633505014,0.3330375425228366,0.2935095966851328
