epoch,loss,recall@20,ndcg@20
1,0.6934583278802725,0.12151189496777723,0.13036405030013878
2,0.6918608729655926,0.26353974048826984,0.30006290716281914
3,0.6902912350801321,0.46594951535392715,0.5097949039058879
4,0.6884953746428857,0.551907898474075,0.5718223118346122
5,0.6858573189148536,0.45638950999980415,0.4700635030511192
6,0.6812753906616797,0.37478612727142135,0.39445183812972523
7,0.6739366146234366,0.3433704000248117,0.3638527918929892
8,0.6655903000098008,0.3295029757823874,0.3485322956543652
9,0.6598656727717473,0.3236752340796457,0.34150943818579627
10,0.6602783248974726,0.3170545630839748,0.31568731240051345
11,0.6645669111838708,0.3196732499526616,0.30599241625147305
12,0.6683683349536016,0.32298111284140674,0.3018361912329784
13,0.6690092499439533,0.3278261011863951,0.2981767867542914
14,0.6662023755220267,0.33123053988495144,0.31609637536077295
15,0.6564330000143784,0.34314590638120046,0.32861852677339926
