epoch,loss,recall@20,ndcg@20
1,0.6938410401344299,0.3330728005654475,0.31840115207941655
2,0.6931706031163534,0.28205636683577845,0.24818183063075464
3,0.687862487634023,0.2603706873192166,0.22511656094545324
4,0.668215028444926,0.2603706873192166,0.21758587359105885
5,0.6278535564740498,0.2603706873192166,0.21436008180404284
6,0.57526136636734,0.2603706873192166,0.21409504387849335
7,0.5257303635279338,0.2603706873192166,0.21412331917677438
8,0.49053240617116295,0.2603706873192166,0.214101523427373
9,0.46442689100901285,0.2603706873192166,0.21403049683037845
10,0.4453321854273478,0.2603706873192166,0.2142894109391038
11,0.4409490942955017,0.2603706873192166,0.21510325031247024
12,0.43161077896753947,0.2603706873192166,0.21497868469757692
13,0.4299182911713918,0.2603706873192166,0.21451500010747648
14,0.42111544609069823,0.2603706873192166,0.21256500804345502
15,0.4237164278825124,0.2603706873192166,0.21260981310834903
