,model,dynamic_Δrecall@20,dynamic_Δndcg@20,dynamic_recall@20_drop_%,dynamic_ndcg@20_drop_%,dynamic_recall@20_DR,dynamic_ndcg@20_DR,burst_Δrecall@20,burst_Δndcg@20,burst_recall@20_drop_%,burst_ndcg@20_drop_%,burst_recall@20_DR,burst_ndcg@20_DR,shift_Δrecall@20,shift_Δndcg@20,shift_recall@20_drop_%,shift_ndcg@20_drop_%,shift_recall@20_DR,shift_ndcg@20_DR,RI_recall@20,RI_ndcg@20
dccf,dccf,,,,,,,,,,,,,,,,,,,,
lightgcn,lightgcn,0.0,0.004756611318164066,0.0,-0.4756611318164066,0.0,-0.004756611318164066,0.0,0.010075199834359696,0.0,1.0075199834359696,0.0,0.010075199834359696,0.0,0.0031436573279882726,0.0,-0.31436573279882724,0.0,-0.0031436573279882726,0.0,0.5529482559065458
simgcl,simgcl,0.0,0.005317826212277026,0.0,0.5317826212277026,0.0,0.005317826212277026,0.0,0.002721260856684776,0.0,0.2721260856684776,0.0,0.002721260856684776,0.0,0.00022370652507945583,0.0,-0.022370652507945583,0.0,-0.00022370652507945583,0.0,-0.0011922788944807587
ngcf,ngcf,0.011589533823751177,0.04268674029167003,-1.1589533823751177,4.268674029167003,-0.011589533823751177,0.04268674029167003,0.015695077654630248,0.024559785283676708,1.5695077654630247,2.455978528367671,0.015695077654630248,0.024559785283676708,0.005165569516462324,0.008955964536127719,0.5165569516462324,-0.8955964536127718,0.005165569516462324,-0.008955964536127719,4.849200104623074,0.6632638616998975
sgl,sgl,0.08889781879852181,0.11198103771884022,-8.889781879852181,-11.198103771884021,-0.08889781879852181,-0.11198103771884022,0.0008498029221902803,0.07765049717700465,0.08498029221902803,-7.765049717700465,0.0008498029221902803,-0.07765049717700465,0.04375317556606255,0.008094225838103665,4.375317556606255,-0.8094225838103665,0.04375317556606255,-0.008094225838103665,-0.273693172596037,-0.05232704810291609
